infections,deaths,infecteds
1,0,0
2,0,1
3,0,2
4,0,3
4,0,4
6,0,6
8,0,8
11,0,10
12,0,12
21,0,20
21,1,22
22,1,24
27,1,30
28,1,33
35,1,39
40,1,46
44,1,53
41,1,56
51,1,63
52,1,66
58,1,73
61,1,80
71,1,90
68,1,94
77,1,103
79,2,108
86,3,116
89,3,126
96,4,135
93,5,138
92,5,146
96,5,152
100,5,165
107,7,172
101,7,174
103,7,185
107,7,190
107,8,198
113,9,205
112,10,216
123,10,226
129,10,232
136,10,245
147,10,253
151,10,262
157,10,274
175,10,287
180,10,299
184,10,306
189,10,321
202,10,339
218,10,355
222,11,365
230,11,385
233,12,397
243,12,409
262,12,427
264,12,441
278,13,463
287,14,479
301,14,498
306,15,517
319,15,534
330,16,550
365,17,580
369,20,604
372,23,622
409,25,646
420,25,668
434,26,685
456,27,712
458,29,728
450,30,751
479,31,774
465,31,789
471,35,811
487,38,832
490,41,853
506,41,869
512,42,890
526,45,913
540,48,937
564,48,958
562,53,984
566,53,1002
574,55,1029
580,55,1047
593,58,1066
592,62,1087
597,66,1109
590,69,1129
605,70,1152
610,71,1177
614,74,1199
636,78,1229
631,79,1254
635,79,1275
650,79,1305
662,81,1331
681,83,1354
684,83,1381
705,83,1407
706,84,1428
722,86,1455
732,89,1488
752,91,1519
748,92,1552
778,95,1577
802,97,1598
817,97,1633
839,100,1662
844,101,1686
827,103,1700
845,104,1720
862,104,1749
832,107,1765
828,107,1785
825,111,1809
816,112,1826
840,115,1846
829,116,1864
842,117,1886
845,118,1907
858,120,1919
862,122,1928
879,125,1946
875,126,1966
894,129,1987
900,129,1998
887,131,2013
897,134,2028
913,135,2045
885,137,2053
899,138,2071
909,141,2083
923,145,2096
923,148,2105
916,150,2120
937,151,2135
934,152,2146
931,155,2156
967,157,2173
963,160,2190
969,163,2201
973,164,2218
998,168,2232
977,172,2241
1003,175,2249
962,180,2257
979,182,2269
979,185,2281
969,190,2294
970,196,2310
969,198,2318
968,200,2322
983,202,2336
984,204,2343
964,205,2349
985,208,2359
1001,212,2363
1016,213,2373
1015,214,2381
1013,217,2385
1004,218,2396
994,221,2404
975,223,2413
953,228,2417
927,231,2426
904,233,2437
917,237,2442
909,239,2450
903,242,2454
895,242,2459
915,246,2466
894,250,2469
912,254,2471
894,260,2477
882,262,2478
878,263,2481
873,264,2483
866,269,2484
874,269,2487
884,273,2487
843,274,2488
853,276,2488
869,278,2490
843,278,2490
847,279,2490
836,279,2491
816,280,2492
824,283,2493
802,284,2494
799,285,2495
805,286,2495
797,287,2495
788,291,2497
808,293,2497
803,295,2499
807,295,2500
819,296,2501
821,297,2501
813,297,2502
806,298,2502
808,298,2502
804,301,2504
780,302,2504
769,307,2504
761,308,2504
759,309,2504
775,311,2505
775,313,2505
753,314,2506
776,318,2506
785,319,2506
789,325,2506
764,328,2506
762,332,2506
754,335,2506
761,336,2506
746,336,2506
726,338,2506
712,341,2506
724,342,2506
728,345,2506
735,345,2506
719,349,2506
722,351,2506
699,353,2506
686,354,2506
675,356,2506
663,358,2506
645,359,2506
643,360,2506
624,361,2506
615,364,2506
631,365,2506
640,366,2506
627,369,2506
635,372,2506
619,373,2506
608,374,2506
645,376,2506
642,376,2506
639,377,2506
651,381,2506
646,382,2506
657,382,2506
653,384,2507
647,384,2507
611,384,2507
615,384,2507
601,386,2507
580,389,2507
586,390,2507
567,391,2507
571,392,2507
570,392,2507
573,392,2507
580,392,2507
573,392,2507
574,394,2508
570,395,2508
549,396,2508
563,398,2508
552,398,2508
560,399,2508
535,400,2508
517,400,2508
505,402,2508
529,403,2508
531,407,2508
511,407,2508
507,407,2508
511,409,2508
527,410,2508
523,410,2508
527,412,2508
522,412,2508
511,415,2508
507,416,2508
507,416,2508
506,417,2508
486,417,2508
490,419,2508
482,422,2508
458,424,2508
459,425,2508
442,427,2508
453,429,2508
450,429,2508
433,431,2508
431,431,2508
455,432,2508
442,432,2508
448,434,2508
442,434,2508
454,435,2508
457,436,2508
466,440,2508
462,441,2508
